SARS2_A549	SARS2_A549_ACE2	SARS2_Calu3
GO:0043085		GO:0022407
GO:2000145		GO:0071900
GO:0030030		GO:0045619
GO:0060548		GO:2000377
GO:0030334		GO:0050731
GO:0051049		GO:0043068
GO:0035295		GO:0071396
GO:0014070		GO:1902107
GO:0008284		GO:1903708
GO:0009719		GO:0007623
GO:0043549		GO:0070372
GO:0050877		GO:0009615
GO:1902533		GO:0051346
GO:0007399		GO:0009607
GO:0045595		GO:0043408
GO:0009967		GO:0002694
GO:0040012		GO:0042981
GO:0051345		GO:0050865
GO:0044087		GO:0043067
GO:0050793		GO:0045637
GO:0008285		GO:0042327
GO:0009653		GO:0010942
GO:0051241		GO:2001233
GO:0051239		GO:0050727
GO:0003008		GO:1901215
GO:0010647		GO:0031401
GO:0019220		GO:0045087
GO:0051174		GO:0010941
GO:0035556		GO:0002682
GO:0023056		GO:0043393
GO:2000026		GO:0001818
GO:0071345		GO:0051707
GO:0051247		GO:0043207
GO:0050776		GO:0010562
GO:0031401		GO:0045937
GO:0010243		GO:0016579
GO:0032270		GO:0080134
GO:0048513		GO:0009967
GO:0048584		GO:0032270
GO:0010648		GO:0051247
GO:0048646		GO:0006468
GO:0023057		GO:0010506
GO:0051338		GO:0010628
GO:0080134		GO:2001234
GO:0043069		GO:0045859
GO:0060341		GO:0044093
GO:1901698		GO:0051345
GO:0032880		GO:0045861
GO:0031399		GO:1901652
GO:0051129		GO:0033157
GO:0002682		GO:0140546
GO:0048585		GO:0051607
GO:0006468		GO:0034764
GO:0030154		GO:0043549
GO:0048731		GO:1901653
GO:0009968		GO:0035556
GO:0032879		GO:0070646
GO:0042127		GO:0007568
GO:0048869		GO:0044419
GO:0009887		GO:1901699
GO:0051130		GO:0002250
GO:0044419		GO:0062197
GO:0000122		GO:0010647
GO:1902531		GO:0023056
GO:0045944		GO:0051240
GO:0042221		GO:0098542
GO:0007275		GO:1901701
GO:0051128		GO:0043085
GO:0010941		GO:0071417
GO:0007166		GO:0071310
GO:0016310		GO:0051338
GO:0010033		GO:0030155
GO:0065009		GO:0042325
GO:0016192		GO:0048584
GO:0048856		GO:0048534
GO:0010604		GO:0031348
GO:0009893		GO:0051336
GO:0043067		GO:0033993
GO:0051726		GO:0008284
GO:0071310		GO:1902531
GO:0032502		GO:0001932
GO:0002376		GO:0006952
GO:0010646		GO:0031647
GO:0032501		GO:0042770
GO:0023051		GO:0000209
GO:0048583		GO:0007166
GO:0032268		GO:0051098
GO:0007165		GO:0002520
GO:0070887		GO:0002683
GO:0051246		GO:0019220
GO:1903508		GO:0051174
GO:0045893		GO:0031399
GO:1902680		GO:0030097
GO:0031325		GO:0016310
GO:0009966		GO:0045321
GO:0007154		GO:0001775
GO:0023052		GO:1901698
GO:0006357		GO:1902532
GO:0006793		GO:1903829
GO:0051173		GO:0030335
GO:0010557		GO:0080135
GO:0006796		GO:0010243
GO:0065008		GO:0070887
GO:0009891		GO:0032268
GO:0051254		GO:0009611
GO:0048518		GO:0045944
GO:0048522		GO:0031331
GO:0048523		GO:0010033
GO:0050790		GO:1901700
GO:0051716		GO:2000147
GO:0048519		GO:0044092
GO:0006950		GO:0042060
GO:0010468		GO:0051246
GO:0050896		GO:1903508
GO:0051172		GO:0045893
GO:0006355		GO:0008283
GO:1903506		GO:1902680
GO:2001141		GO:0009628
GO:0051252		GO:0040017
GO:0010605		GO:0045597
GO:0009892		GO:0006508
GO:0060255		GO:0051272
GO:0010556		GO:0006955
GO:0019219		GO:0031329
GO:2000112		GO:0009605
GO:0051171		GO:0009896
GO:0009889		GO:0010557
GO:0019222		GO:0048732
GO:0031323		GO:0032386
GO:0031326		GO:0043161
GO:0080090		GO:0071407
GO:0051179		GO:0065009
GO:0016043		GO:0009894
GO:0071840		GO:0042127
GO:0050794		GO:0045595
GO:0050789		GO:0031328
GO:0065007		GO:0051254
GO:0009987		GO:0051173
		GO:0014070
		GO:0009891
		GO:0033554
		GO:0071495
		GO:0010604
		GO:0010563
		GO:0045936
		GO:0010035
		GO:0031325
		GO:0010498
		GO:0018193
		GO:0045935
		GO:0002376
		GO:0070848
		GO:0043086
		GO:0009966
		GO:0009719
		GO:0016567
		GO:0009725
		GO:0009893
		GO:0032446
		GO:1903827
		GO:0050790
		GO:0051239
		GO:0070647
		GO:2000026
